"Zipcode","Fair health","Poor health","Harmful Guards","Helpful Guards","Sidewalk Damage","rootstone","rootgrate","rootother","trunkwire","trnklight","trnkother","brchlight","brchshoe","brchother"
10020,0.243697478991597,0.0168067226890756,0,0,0.277310924369748,0.823529411764706,0.184873949579832,0.80672268907563,0,1,0.991596638655462,1,1,0.991596638655462
10021,0.186346863468635,0.0931734317343173,0,0,0.3809963099631,0.856549815498155,0.921125461254613,0.850553505535055,0,0.997693726937269,0.819188191881919,0.973247232472325,0.999538745387454,0.580258302583026
10022,0.195223880597015,0.0561194029850746,0,0,0.258507462686567,0.677014925373134,0.878805970149254,0.882985074626866,0,0.982089552238806,0.804179104477612,0.965970149253731,0.999402985074627,0.874626865671642
10023,0.167100855973204,0.0271678451804987,0,0,0.176777074804615,0.831410494975809,0.951246743580201,0.905842947525121,0,0.987346483066617,0.911425381466319,0.99032378116859,0.999255675474507,0.905842947525121
10024,0.106785617734523,0.0281157069478237,0,0,0.121113814544471,0.871046228710462,0.965666396323331,0.974587726412544,0,0.998918626655853,0.961340902946742,0.996755879967559,1,0.974858069748581
10025,0.144824069352371,0.0512493625701173,0,0,0.218510963793983,0.831718510963794,0.992860785313616,0.960734319224885,0,0.994390617032127,0.956144824069352,0.992350841407445,0.999235084140744,0.947220805711372
10026,0.20708446866485,0.0566757493188011,0,0,0.232152588555858,0.790190735694823,0.992370572207084,0.917711171662125,0,0.997275204359673,0.90408719346049,0.982016348773842,0.999455040871935,0.909536784741144
10027,0.148537627341439,0.0614525139664804,0,0,0.180085441998028,0.866579033848176,0.989155438711798,0.95662175484719,0,0.99375616168255,0.934275386132106,0.989155438711798,0.999671376930661,0.94413407821229
10028,0.192450824029771,0.0723019670388091,0,0,0.33705475810739,0.748538011695906,0.971823498139288,0.870813397129187,0,0.997341839447103,0.883040935672515,0.987772461456672,1,0.73418394471026
10029,0.223689640940982,0.0499380932728023,0,0,0.354519191085431,0.703260420965745,0.985142385472555,0.853487412298803,0,0.995047461824185,0.852661989269501,0.985967808501857,0.999174576970697,0.850185720181593
10030,0.154362416107383,0.0275913497390007,0,0,0.306487695749441,0.748695003728561,1,0.910514541387025,0,0.997762863534676,0.901565995525727,0.980611483967189,0.999254287844892,0.905294556301268
10031,0.162172573189522,0.049306625577812,0,0,0.244607087827427,0.801232665639445,0.996147919876733,0.948767334360555,0,0.99653312788906,0.925654853620955,0.989984591679507,0.998459167950693,0.935285053929122
10032,0.188543076229138,0.0780333784393324,0,0,0.185385656292287,0.847090663058187,0.994587280108254,0.955345060893099,0,0.987821380243572,0.929634641407307,0.984212900315742,0.998646820027064,0.941362201172756
10033,0.211224489795918,0.0704081632653061,0,0,0.321938775510204,0.753571428571429,0.990816326530612,0.907142857142857,0,0.993877551020408,0.881632653061225,0.973469387755102,1,0.904081632653061
10034,0.240611075747931,0.0732017823042648,0,0,0.0700190961171229,0.695098663271801,0.992361553150859,0.917886696371738,0,0.99618077657543,0.954169318905156,0.988542329726289,1,0.974538510502864
10035,0.145273631840796,0.0691542288557214,0,0,0.290049751243781,0.790049751243781,0.980099502487562,0.91592039800995,0,0.998507462686567,0.914427860696517,0.99452736318408,0.999502487562189,0.913432835820896
10036,0.18098510882016,0.0687285223367698,0,0,0.302405498281787,0.783505154639175,0.877434135166094,0.945017182130584,0,0.990836197021764,0.916380297823597,0.988545246277205,0.997709049255441,0.936998854524628
10037,0.164520743919886,0.0472103004291846,0,0,0.240343347639485,0.723891273247496,0.985693848354793,0.987124463519313,0,1,0.927038626609442,0.997138769670958,0.995708154506438,0.935622317596567
10038,0.227621483375959,0.0485933503836317,0,0,0.0767263427109974,0.90537084398977,0.964194373401535,0.9923273657289,0,1,0.989769820971867,0.997442455242967,1,0.974424552429668
10039,0.114856429463171,0.0199750312109863,0,0,0.243445692883895,0.744069912609238,0.975031210986267,0.975031210986267,0,1,0.951310861423221,0.998751560549313,1,0.945068664169788
10040,0.214104193138501,0.0641677255400254,0,0,0.251588310038119,0.769377382465057,0.998094027954257,0.901524777636595,0,0.991740787801779,0.862134688691233,0.974587039390089,0.998094027954257,0.923761118170267
10044,0.309090909090909,0.0363636363636364,0,0,0.109090909090909,1,1,1,0,1,0.963636363636364,0.981818181818182,1,1
10065,0.236077481840194,0.0726392251815981,0,0,0.286924939467312,0.765133171912833,0.935230024213075,0.863801452784504,0,0.993946731234867,0.876513317191283,0.971549636803874,1,0.752421307506053
10075,0.167892156862745,0.0882352941176471,0,0,0.394607843137255,0.802696078431373,0.952205882352941,0.840686274509804,0,0.995098039215686,0.841911764705882,0.979166666666667,0.998774509803922,0.637254901960784
10128,0.184161199625117,0.0646672914714152,0,0,0.350046860356139,0.826148078725398,0.955951265229616,0.940487347703843,0,0.997188378631678,0.919868791002812,0.990159325210872,0.999531396438613,0.878163074039363
10280,0.113247863247863,0.0405982905982906,0,0,0.00427350427350427,0.997863247863248,0.987179487179487,0.987179487179487,0,1,0.991452991452991,1,1,0.993589743589744
10301,0.128092172145036,0.0357505930193155,0,0,0.271941714672992,0.900203320908167,0.999830565909861,0.969501863774991,0,0.999830565909861,0.979667909183328,0.880379532361911,0.999661131819722,0.98881735005083
10302,0.0720562390158172,0.0289982425307557,0,0,0.266695957820738,0.964850615114236,0.999560632688928,0.984622144112478,0,0.999121265377856,0.993848857644991,0.951669595782074,1,0.991652021089631
10303,0.174366099340049,0.0684265369920111,0,0,0.184439041333796,0.976728030566169,0.999652657172629,0.989579715178882,0,0.999652657172629,0.985758944077805,0.975686002084057,1,0.991316429315735
10304,0.124510971253615,0.0341894880081647,0,0,0.279469297499575,0.910869195441402,1,0.976356523218234,0,0.999319612178942,0.982820207518285,0.914101037591427,1,0.985371661847253
10305,0.129955290611028,0.0350223546944858,0,0,0.240387481371088,0.919374068554396,0.999850968703428,0.967064083457526,0,0.999403874813711,0.98166915052161,0.928464977645306,0.999701937406855,0.987034277198212
10306,0.142983799468042,0.0297412750866446,0,0,0.234303215926493,0.859837188683808,0.999919400338519,0.968404932699283,0,0.998468606431853,0.968082534053357,0.828403320706053,0.999758201015556,0.977029096477795
10307,0.110499410145497,0.0340149429807314,0,0,0.171254423908769,0.924891860007865,1,0.986826582776249,0,0.998820290994888,0.987416437278805,0.934919386551317,1,0.987809673613842
