"category","Fair health","Poor health","Harmful Guards","Helpful Guards","Sidewalk Damage","rootstone","rootgrate","rootother","trunkwire","trnklight","trnkother","brchlight","brchshoe","brchother"
Parrotia,0.23841059602649,0.0529801324503311,0,0,0.105960264900662,0.993377483443709,1,0.940397350993378,0,1,0.947019867549669,0.973509933774834,1,0.940397350993378
Pear,0.158786480972235,0.0400292734853189,0,0,0.217422159141311,0.860285638250687,0.985585026168722,0.965204470859576,0,0.996540406280493,0.955690588130932,0.899716135899938,0.999401224163932,0.953295484786658
Pine,0.14390243902439,0.0463414634146341,0,0,0.134146341463415,0.939024390243902,1,0.953658536585366,0,1,0.963414634146341,0.94390243902439,1,0.946341463414634
Planetree,0.167797263441896,0.0358835999229139,0,0,0.379302370398921,0.664424744652149,0.997186355752553,0.940161880901908,0,0.999171323954519,0.935305453844671,0.861399113509347,0.999094237810754,0.959279244555791
Redbud,0.164100769769069,0.079776067179846,0,0,0.143806857942617,0.960811756473058,1,0.985304408677397,0,0.998600419874038,0.959412176347096,0.934569629111267,0.999650104968509,0.964660601819454
Sassafras,0.203883495145631,0.0970873786407767,0,0,0.252427184466019,0.805825242718447,0.990291262135922,0.922330097087379,0,1,0.932038834951456,0.932038834951456,0.990291262135922,0.932038834951456
Serviceberry,0.149484536082474,0.0670103092783505,0,0,0.145066273932253,0.933726067746686,1,0.977172312223859,0,1,0.970544918998527,0.943298969072165,1,0.982326951399116
Silverbell,0.259036144578313,0.036144578313253,0,0,0.156626506024096,0.873493975903614,1,0.975903614457831,0,1,0.981927710843373,0.957831325301205,1,0.969879518072289
Smoketree,0.222222222222222,0.0555555555555556,0,0,0.111111111111111,1,1,1,0,1,0.888888888888889,0.888888888888889,1,0.944444444444444
Sophora,0.165998931623932,0.0353899572649573,0,0,0.292935363247863,0.786191239316239,0.99198717948718,0.930154914529915,0,0.997729700854701,0.922008547008547,0.936832264957265,0.99866452991453,0.934561965811966
Spruce,0.203947368421053,0.0548245614035088,0,0,0.105263157894737,0.951754385964912,0.99780701754386,0.962719298245614,0,1,0.975877192982456,0.953947368421053,1,0.989035087719298
Sweetgum,0.138494141111942,0.0354026427324857,0,0,0.303166292695088,0.866242832211419,0.99887808526552,0.966342557965595,0,0.99925205684368,0.970580902518075,0.924333084018948,0.99987534280728,0.979805534779357
Tree,0.196629213483146,0.0786516853932584,0,0,0.303370786516854,0.764044943820225,0.99438202247191,0.943820224719101,0,1,0.910112359550562,0.780898876404494,1,0.97752808988764
Tree of Heaven,0.243809523809524,0.0819047619047619,0,0,0.302857142857143,0.657142857142857,0.977142857142857,0.889523809523809,0,0.990476190476191,0.900952380952381,0.906666666666667,0.996190476190476,0.925714285714286
Treelilac,0.171539961013645,0.050125313283208,0,0,0.153717627401838,0.940128098022835,0.995265942634364,0.979949874686717,0,0.999164578111946,0.973544973544973,0.933723196881092,1,0.976886661097187
Tulip Tree,0.234769687964339,0.0832095096582467,0,0,0.185735512630015,0.912332838038633,1,0.982169390787519,0,0.99851411589896,0.973254086181278,0.955423476968796,1,0.958395245170877
Tupelo,0.182222222222222,0.0666666666666667,0,0,0.164444444444444,0.964444444444444,1,0.986666666666667,0,1,0.977777777777778,0.977777777777778,1,0.973333333333333
Turkish Hazelnut,0.23936170212766,0.106382978723404,0,0,0.117021276595745,0.914893617021277,1,0.978723404255319,0,1,0.962765957446808,0.930851063829787,0.99468085106383,0.946808510638298
Unknown,0,0,0,0,0.0000457770656900893,1,1,1,0,1,1,1,1,1
Walnut,0.178571428571429,0.0535714285714286,0,0,0.263392857142857,0.799107142857143,0.991071428571429,0.964285714285714,0,1,0.919642857142857,0.852678571428571,1,0.959821428571429
Willow,0.209944751381215,0.0607734806629834,0,0,0.248618784530387,0.762430939226519,0.994475138121547,0.961325966850829,0,1,0.933701657458563,0.883977900552486,1,0.955801104972376
Yellowwood,0.166144200626959,0.0909090909090909,0,0,0.178683385579937,0.949843260188088,1,0.971786833855799,0,1,0.978056426332288,0.956112852664577,1,0.949843260188088
Zelkova,0.125890736342043,0.0317814726840855,0,0,0.238669833729216,0.830736342042755,0.993871733966746,0.956627078384798,0,0.998717339667458,0.948883610451306,0.943467933491686,0.99938242280285,0.959429928741093
